workload,strategy,read_percent,write_percent,requests,elapsed_seconds,throughput_rps,avg_latency_ms,p95_latency_ms,db_reads,db_writes,db_operations,db_write_batches,cache_gets,cache_hits,cache_misses,cache_hit_rate_percent,max_pending_writes,flushes,final_flush_ms
read-heavy,lazy-loading,80,20,3000,0.22295819999999367,13455.436938404084,0.0738079000050978,0.17610000213608146,1080,566,1646,566,2434,1354,1080,55.628594905505345,0,0,0.0
read-heavy,write-through,80,20,3000,0.20608929998707026,14556.796496413039,0.0680147667590063,0.19120000069960952,765,566,1331,566,2434,1669,765,68.57025472473295,0,0,0.0
read-heavy,write-back,80,20,3000,0.1174133000022266,25550.76809818912,0.03847079990858523,0.11039999662898481,765,486,1251,2,2434,1669,765,68.57025472473295,250,2,6.6580999991856515
balanced,lazy-loading,50,50,3000,0.38774850001209415,7736.973837181647,0.1285331335190373,0.19630001042969525,953,1553,2506,1553,1447,494,953,34.139599170698,0,0,0.0
balanced,write-through,50,50,3000,0.3491527000151109,8592.229130320813,0.1155797333146135,0.20219999714754522,470,1553,2023,1553,1447,977,470,67.51900483759502,0,0,0.0
balanced,write-back,50,50,3000,0.10840600001392886,27673.744992108706,0.035578966703421123,0.10120001388713717,470,1350,1820,6,1447,977,470,67.51900483759502,250,6,2.830899989930913
write-heavy,lazy-loading,20,80,3000,0.4872299000271596,6157.257589964761,0.16167110026193163,0.20229999790899456,557,2357,2914,2357,643,86,557,13.374805598755831,0,0,0.0
write-heavy,write-through,20,80,3000,0.4689670999941882,6397.037233608026,0.15541536660748534,0.2117999829351902,203,2357,2560,2357,643,440,203,68.42923794712286,0,0,0.0
write-heavy,write-back,20,80,3000,0.10483840000233613,28615.469140440437,0.03443569990728671,0.0999000039882958,203,2068,2271,9,643,440,203,68.42923794712286,250,9,1.9447999948170036
